Year,Month,SE,CE,NE,NO,NW,CW,SW
2005,6,268.6300868,268.0344088,267.055665,269.1313907,267.2684712,266.034196,269.0944426
2005,7,271.5397014,270.0206702,269.6598846,271.3924846,270.1078612,268.831873,271.4073665
2005,8,267.1592587,263.7571366,262.2783249,265.4243595,264.8148244,263.2144056,268.247987
2005,9,258.7125942,254.4380516,252.8806751,255.2186175,254.1965981,251.3126028,260.6167103
2005,10,254.7081429,251.1112421,245.7717354,248.6931561,249.3734988,247.2187094,254.5441935
2005,11,256.8314946,251.9341428,245.9202031,245.9164448,249.3834826,251.1688556,256.9745494
2005,12,252.4424524,248.9108662,242.5731952,242.5955158,243.4088885,245.4136585,252.1029428
2006,1,248.0657354,248.7532466,243.4817559,241.5345336,239.5147279,239.5685842,245.007351
2006,2,252.5783213,248.8562015,240.7527833,239.0452722,243.8926862,246.892602,252.8453661
2006,3,253.8157607,248.5971636,240.5559606,240.3601341,242.5413261,245.6256706,254.7013602
2006,4,255.9185512,252.6186648,248.553215,249.0332212,248.3630371,248.9263272,256.08295
2006,5,263.487171,261.2216248,259.27662,260.0774646,260.6413205,259.8357419,263.7213593
2006,6,267.139484,265.9076094,264.6720834,265.6181988,265.0036564,264.6504623,267.1767817
2006,7,270.6437275,268.5319424,268.0697799,269.844395,268.2337258,267.1456937,271.0498911
2006,8,269.9756887,267.4470672,265.0761352,266.5795161,266.6477399,266.1636189,270.5465636
2006,9,264.4167181,260.3482521,256.9672428,259.295333,259.5649737,259.5276675,264.8739568
2006,10,256.8633804,253.5880094,249.4156872,252.8162631,252.3836204,250.2261842,257.3515813
2006,11,248.9094055,243.9172738,239.6316861,241.3458029,239.7799356,238.9644884,248.9105577
2006,12,253.9115117,249.6424841,239.9621202,240.2781632,243.937923,247.0231013,251.826245
2007,1,250.381914,245.9436842,239.4701263,239.7459349,242.4844184,243.6725142,250.3893019
2007,2,252.736367,247.030891,242.110847,242.8287833,246.6226762,246.831658,253.6997488
2007,3,251.0802034,247.8526279,239.7791321,240.5732055,242.7173975,243.1665976,248.7659134
2007,4,257.4753081,253.4031338,248.5307576,248.8724749,249.6273548,250.9513092,256.5111006
2007,5,260.7004421,259.368163,257.2710911,258.2396031,258.237574,257.6265351,260.6709355
2007,6,271.0120734,269.0957324,267.8631599,267.6116707,267.4827552,267.8523323,271.3877549
2007,7,271.5969003,269.4187319,267.9467143,269.6626196,269.392097,268.4905781,272.2527244
2007,8,269.5070467,266.0028402,263.7805194,265.7643256,266.0482311,265.5581297,270.8742041
2007,9,261.6930524,257.8654508,252.9592442,253.8993899,255.1647527,255.7937027,261.8206892
2007,10,257.3118284,253.507637,246.787997,247.2716649,249.6230851,250.6459835,255.9622099
2007,11,255.618169,248.7471753,241.4227403,242.6397968,245.7340825,248.1404195,255.7910227
2007,12,250.8088152,246.673666,239.4763164,239.5241438,242.5009399,244.4127162,247.7397018
2008,1,246.9590798,244.9205534,236.7475628,238.4566296,239.1244248,238.7423707,244.5173377
2008,2,245.8306149,245.4443057,242.8981066,242.7588795,242.7218539,240.621616,243.9243298
2008,3,253.5760377,248.2277655,239.3244481,239.9139321,244.1922903,246.6306653,252.8813178
2008,4,259.1765249,254.4931546,247.6724092,247.6734498,251.2676421,254.2965628,260.3474346
2008,5,265.1121232,261.7851895,257.6964403,258.7476839,258.7067387,260.5615695,265.5353093
2008,6,268.6348584,267.1331302,267.2417481,269.1566658,266.9299778,264.9363577,268.9356491
2008,7,270.140961,269.0606389,268.4725329,270.6628884,268.4313911,267.1749697,270.2609777
2008,8,268.4382155,266.5614409,264.399536,266.2071346,265.0514748,264.3686514,268.1048249
2008,9,264.0575585,262.3334531,257.5843117,257.9036841,259.365706,260.1483026,263.2621089
2008,10,256.6907938,250.4913718,245.0008136,248.4942355,249.2967014,249.0610022,257.5054132
2008,11,255.5498348,248.8820266,240.1461281,240.5979468,242.7058459,247.404333,257.0854916
2008,12,251.795133,249.4339934,243.4985518,242.9031855,245.7233012,246.3574894,249.9697574
2009,1,253.3163235,248.5334122,239.6810231,239.919533,242.7618935,246.1368782,252.4179159
2009,2,250.9744678,245.4624804,238.7823872,240.8481054,242.5304431,243.0598903,250.8445241
2009,3,249.8805644,244.0475935,237.2726075,239.898853,241.8123372,241.5284174,248.1550624
