,,,,,,,,,,,,,,,,,,,,,,,
Short Date (month : year),NO,Error,NE,Error,CE,Error,SE,Error,SW,Error,CW,,NW,,Overall_mass_change,,,,,,,,
 Sep  : 05,9.36E+01,,-7.76E+00,,2.22E+02,,2.09E+02,,2.96E+02,,1.59E+02,,2.97E+02,,1.27E+03,,,,,,,,
 Oct  : 05,1.03E+02,,-2.54E+01,,2.17E+02,,1.89E+02,,3.16E+02,,1.72E+02,,3.08E+02,,1.28E+03,,,,,,,,
 Nov  : 05,9.11E+01,,2.36E+00,,2.25E+02,,1.91E+02,,3.37E+02,,1.76E+02,,2.96E+02,,1.32E+03,,,,,,,,
 Dec  : 05,1.20E+02,,-1.47E+01,,2.67E+02,,2.57E+02,,2.76E+02,,1.62E+02,,3.07E+02,,1.38E+03,,,,,,,,
 Jan  : 06,1.08E+02,,2.21E+01,,2.47E+02,,2.18E+02,,3.16E+02,,1.52E+02,,2.89E+02,,1.35E+03,,,,,,,,
 Feb  : 06,9.50E+01,,1.37E+01,,2.75E+02,,1.74E+02,,3.61E+02,,1.64E+02,,2.89E+02,,1.37E+03,,,,,,,,
 Mar  : 06,1.02E+02,,2.14E+01,,2.76E+02,,2.05E+02,,3.49E+02,,1.64E+02,,2.81E+02,,1.40E+03,,,,,,,,
 Apr  : 06,9.77E+01,,1.47E+01,,2.77E+02,,1.92E+02,,3.64E+02,,1.72E+02,,2.80E+02,,1.40E+03,,,,,,,,
 May  : 06,1.03E+02,,2.32E+01,,2.71E+02,,1.98E+02,,3.82E+02,,1.69E+02,,2.72E+02,,1.42E+03,,,,,,,,
 Jun  : 06,1.16E+02,,2.85E+01,,2.52E+02,,1.59E+02,,4.12E+02,,1.86E+02,,2.70E+02,,1.42E+03,,,,,,,,
 Jul  : 06,1.06E+02,,2.94E+01,,2.51E+02,,1.63E+02,,3.43E+02,,1.51E+02,,2.73E+02,,1.32E+03,,,,,,,,
 Aug  : 06,9.59E+01,,2.15E+01,,2.11E+02,,1.43E+02,,2.92E+02,,1.44E+02,,2.47E+02,,1.16E+03,,,,,,,,
 Sep  : 06,9.78E+01,,1.15E+01,,1.88E+02,,1.26E+02,,3.02E+02,,1.54E+02,,2.47E+02,,1.13E+03,,,,,,,,
 Oct  : 06,1.03E+02,,2.24E+01,,2.01E+02,,1.50E+02,,2.58E+02,,1.41E+02,,2.53E+02,,1.13E+03,,,,,,,,
 Nov  : 06,1.15E+02,,2.79E+01,,1.79E+02,,1.22E+02,,3.11E+02,,1.52E+02,,2.48E+02,,1.16E+03,,,,,,,,
 Dec  : 06,1.24E+02,,2.18E+01,,1.50E+02,,1.20E+02,,3.06E+02,,1.58E+02,,2.45E+02,,1.13E+03,,,,,,,,
 Jan  : 07,1.11E+02,,2.48E+01,,1.94E+02,,1.21E+02,,3.02E+02,,1.54E+02,,2.35E+02,,1.14E+03,,,,,,,,
