Date,sw_grace_gt_month,sw_grace_diff_gt_month,sw_avg_ice_disch_gt_month,sw_runoff_gt_month,sw_sum_ppt_gt_each_month,sw_monthly_avg_temp_2m_K,sw_total_ice_loss_gt_month,sw_ice_discharge_percent,sw_grace_diffs_gt_month
2009-01-31,215.0,78.0,1.6117628815,0.084670573,3.98366227,252.4179159,-1.6964334545,95.00890690551988,-75.7127711845
2009-02-28,191.0,-24.0,1.4594225319166665,0.066331881,3.217816942,250.8445241,-1.5257544129166665,95.6525191447293,25.692062529083334
2009-03-31,190.0,-1.0,1.6212689935,0.063233942,4.451839355,248.1550624,-1.6845029355,96.24613643185901,3.7673364194999994
2009-04-30,203.0,13.0,1.5739272135714286,0.071567231,10.48268922,257.5497467,-1.6454944445714286,95.65071573252015,-4.162805224571429
2009-05-31,247.0,44.0,1.6349367605,0.569027917,5.844914247,261.1443112,-2.2039646775,74.18162265443112,-40.3590504305
2009-06-30,245.0,-2.0,1.5746880667777778,8.11034172,11.22856899,268.4153708,-9.685029786777777,16.258990436225375,3.543539203222222
2009-07-31,165.0,-80.0,1.6092355642222222,30.48712689,3.896144596,271.1660008,-32.09636245422222,5.013763059653291,51.79978214177778
2009-08-31,142.0,-23.0,1.5526023328125,18.61035515,5.0503535,268.4080047,-20.1629574828125,7.700270826519294,7.8873960171875
2009-09-30,123.0,-19.0,1.4459133454285715,0.740994048,16.27757398,262.2624369,-2.1869073934285717,66.1168072216222,33.09066658657143
2009-10-31,144.0,21.0,1.5123995098333334,0.112130063,9.044640714,257.0829167,-1.6245295728333333,93.09769025598995,-13.579888858833334
2009-11-30,103.0,-41.0,1.4878242627692306,0.075104899,5.600735285,251.5826016,-1.5629291617692307,95.19460633039942,45.037806123230766
2009-12-31,125.0,22.0,1.559027636,0.076102291,5.420024671,254.7779213,-1.635129927,95.34579547818403,-18.215105256
2010-01-31,128.0,3.0,1.572899203,0.078876824,9.152994339,257.2999803,-1.651776027,95.22472643320425,4.501218311999999
2010-02-28,164.0,36.0,1.437954251,0.050340843,3.877281144,256.2208918,-1.4882950940000002,96.61754962420108,-33.61101395
2010-03-31,173.0,9.0,1.6071324445,0.0571933,6.300184229,254.8669355,-1.6643257445,96.56357535842947,-4.3641415155
2010-04-30,182.0,9.0,1.5462748303333333,0.152911535,5.934143539,258.6117055,-1.6991863653333334,91.00089677508663,-4.7650428263333335
2010-05-31,167.0,-15.0,1.5950571998,6.962337672,10.77303538,267.7906587,-8.5573948718,18.63951849477397,17.2156405082
2010-06-30,129.0,-38.0,1.4780531851999998,27.75597165,9.060023725,270.0150294,-29.2340248352,5.055934629364859,17.8259988898
2010-07-31,71.7,-57.3,1.488136183625,52.54021664,6.83556699,272.1930582,-54.028352823625,2.754361563609028,10.107214166375002
2010-08-31,11.1,-60.6,1.4072668175555556,41.14812112,17.85400532,272.1031903,-42.55538793755555,3.306906330217304,35.89861738244444
2010-09-30,-54.5,-65.6,1.276972282,8.808198391,8.943322136,266.6010965,-10.085170673,12.661880729680735,64.458151463
2010-10-31,-39.6,14.899999999999999,1.4346984015,1.197041938,5.927903366,259.9078554,-2.6317403395,54.51519589400586,-11.603836973499998
2010-11-30,-32.4,7.200000000000003,1.4306714598461538,0.451957152,11.1723022,256.7992314,-1.8826286118461537,75.99329208341314,2.0896735881538433
2010-12-31,-41.2,-8.800000000000004,1.5186200838888888,0.087458833,18.26357754,258.0504704,-1.6060789168888887,94.55451210520745,25.457498623111118
2011-01-31,,,1.589323746,0.067486567,6.168034855,249.5715099,-1.656810313,95.92671735137853,
2011-02-28,20.3,61.5,1.4711943843333333,0.051067309,6.25252225,249.7956723,-1.5222616933333333,96.64530026449154,-56.769739443333336
2011-03-31,43.7,23.400000000000002,1.6503535656875,0.061055514,6.375526442,247.4142396,-1.7114090796875,96.43244185597352,-18.735882637687503
2011-04-30,20.9,-22.800000000000004,1.6072785284615385,0.05060625,5.269508377,250.4677419,-1.6578847784615385,96.94754118878147,26.411623598538466
2011-05-31,-15.0,-35.9,1.6744034144285713,0.296834171,5.49975287,260.2100778,-1.9712375854285713,84.94173542579523,39.428515284571425
2011-06-30,,,1.6103399535,17.92191642,5.477724737,269.7237511,-19.532256373499997,8.244515752336719,
2011-07-31,-69.5,-54.5,1.6784224703333332,48.26367846,13.12742676,271.9640289,-49.94210093033333,3.3607366111302497,17.685325829666667
2011-08-31,-130.0,-60.5,1.6901554464545454,33.38745179,10.97724731,269.8405068,-35.07760723645455,4.8183316355114565,36.399640073545456
2011-09-30,-150.0,-20.0,1.5934935992142858,1.366276057,11.58913604,262.5129517,-2.959769656214286,53.83843286144283,28.629366383785715
2011-10-31,-129.0,21.0,1.66468334225,0.110599697,5.717871999,254.2849101,-1.77528303925,93.77002457891307,-17.05741104025
2011-11-30,,,1.6340925245833333,0.13439808,7.762811348,250.4922776,-1.7684906045833333,92.4004074631957,
2011-12-31,-96.4,32.599999999999994,1.7041763401666667,0.060731288,9.287040469,247.2632473,-1.7649076281666667,96.55895373611786,-25.077867159166658
2012-01-31,-130.0,-33.599999999999994,1.7239502566666667,0.051421377,7.217601427,249.2941836,-1.7753716336666667,97.10362743073688,39.04222979333333
2012-02-29,-148.0,-18.0,1.6277675426470588,0.086631175,12.16499099,251.8024391,-1.7143987176470588,94.94684788851816,28.450592272352942
2012-03-31,-83.4,64.6,1.7468486464000001,0.085686389,12.18035034,251.74571,-1.8325350354,95.32416093854945,-54.25218469539999
2012-04-30,-67.8,15.600000000000009,1.637807106375,0.636857581,17.80900232,261.7113698,-2.274664687375,72.00213356567538,-0.0656623673750083
2012-05-31,,,1.7003551149333334,2.661729274,11.61831058,265.4495046,-4.362084388933333,38.98033516378448,
2012-06-30,-97.2,-29.400000000000006,1.6916799985714286,34.76517104,4.380803006,272.2083564,-36.45685103857143,4.640225226204061,-2.6760480325714227
2012-07-31,-145.0,-47.8,1.6638982371333335,70.84544248,16.68818285,273.2191896,-72.50934071713334,2.2947364031682174,-8.021157867133333
2012-08-31,-289.0,-144.0,1.5513456951578946,33.40736831,12.0836856,270.0472658,-34.958714005157894,4.437650924255982,121.12497159484211
2012-09-30,-330.0,-41.0,1.490626476076923,4.472673839,24.9929248,264.7600309,-5.963300315076923,24.99666958426015,60.029624484923076
2012-10-31,,,1.5958468556666667,1.273717908,19.72333444,261.216274,-2.869564763666667,55.612853763493,
2012-11-30,-316.0,14.0,1.5647147171875,0.349144977,16.01288483,254.3186787,-1.9138596941875,81.75702335649927,0.09902513581250005
2012-12-31,-279.0,37.0,1.6270909754545455,0.126973102,6.030074571,252.1872146,-1.7540640774545455,92.76120504193551,-32.723989506454544
2013-01-31,-273.0,6.0,1.6443666040833333,0.09037636,5.484188153,252.6810311,-1.7347429640833334,94.79021607977776,-2.250554811083333
2013-02-28,-250.0,23.0,1.4966043163125,0.064413907,6.291737846,251.1653798,-1.5610182233125,95.87359673077276,-18.269280377312498
2013-03-31,,,1.6621642766470588,0.101342926,3.792162395,254.8551911,-1.7635072026470588,94.25333075771495,
2013-04-30,-298.0,-48.0,1.5961875134285715,0.142697424,7.448797657,254.8150052,-1.7388849374285715,91.79373971626794,53.70991271957143
2013-05-31,-243.0,55.0,1.6674356294375001,0.2053906,14.5132563,259.9275566,-1.8728262294375002,89.03312027717122,-42.3595699294375
2013-06-30,-198.0,45.0,1.6805889607692306,11.10631612,7.102915111,269.0636342,-12.78690508076923,13.14304712636633,-50.68398996976923
2013-07-31,-230.0,-32.0,1.746093037388889,31.05787409,10.54733539,270.3088104,-32.80396712738889,5.322810593634056,9.743368262611114
2013-08-31,,,1.7313767692380952,18.68486171,12.37548278,267.6258012,-20.416238479238096,8.480390601818184,
