Date,CE,CW,NE,NO,NW,SE,SW,,,,,,,,,
7/15/1989,6.443549514,5.894146077,1.878810814,2.157550388,8.642091765,10.66618938,1.809574136,,6/15/1989,5.5365297,5.982824582,1.812114202,2.003508313,8.225256222,10.81391928,1.747570002
8/15/1989,6.456834581,6.107276087,1.869150228,1.977453875,8.266854876,10.6434775,1.813450996,,7/15/1989,6.443549514,5.894146077,1.878810814,2.157550388,8.642091765,10.66618938,1.809574136
9/15/1989,6.096297392,6.093543418,1.854491784,1.91752441,8.161926664,10.25561804,1.758704378,,8/15/1989,6.456834581,6.107276087,1.869150228,1.977453875,8.266854876,10.6434775,1.813450996
10/15/1989,5.436381606,6.239921177,1.899821039,1.972343067,8.46003503,10.63733623,1.821079658,,9/15/1989,6.096297392,6.093543418,1.854491784,1.91752441,8.161926664,10.25561804,1.758704378
3/15/1990,5.573227928,5.954328057,1.816835778,1.926545663,8.591123892,10.8379863,1.83996372,,10/15/1989,5.436381606,6.239921177,1.899821039,1.972343067,8.46003503,10.63733623,1.821079658
4/15/1990,5.291310434,5.634546698,1.653489921,1.855300207,8.304927016,10.39086045,1.784361852,,3/15/1990,5.573227928,5.954328057,1.816835778,1.926545663,8.591123892,10.8379863,1.83996372
5/15/1990,5.715757495,5.5428968,1.974899348,1.813096932,8.659141255,11.17991437,1.847592382,,4/15/1990,5.291310434,5.634546698,1.653489921,1.855300207,8.304927016,10.39086045,1.784361852
6/15/1990,6.217752627,5.732127923,1.82620875,1.96627836,8.478071063,10.21968589,1.791744427,,5/15/1990,5.715757495,5.5428968,1.974899348,1.813096932,8.659141255,11.17991437,1.847592382
7/15/1990,7.122120305,5.931023601,1.906014949,2.096136634,8.606890636,10.51388231,1.855221043,,6/15/1990,6.217752627,5.732127923,1.82620875,1.96627836,8.478071063,10.21968589,1.791744427
8/15/1990,6.579546258,5.635932875,1.84896042,1.857940887,8.682889039,10.69492658,1.859097903,,7/15/1990,7.122120305,5.931023601,1.906014949,2.096136634,8.606890636,10.51388231,1.855221043
