Year,Month,SE,CE,NE,NO,NW,CW,SW
2006,8,14.80798725,12.58594381,7.421706913,8.8698484,14.95177288,10.83511092,14.94947497
2006,9,13.65623267,10.71882752,6.911635734,5.549816518,4.350889399,5.449131957,11.28807745
2006,10,4.699453792,7.845354838,3.550032519,4.584958121,5.857333689,6.36947233,5.415337834
2006,11,7.800387813,5.553933094,7.302565469,3.420672704,3.749042274,4.584598423,7.376928943
2006,12,27.03197229,17.91024996,3.024771489,1.675149557,5.890409093,8.204251398,8.657389991
2007,1,17.12811194,5.293892483,6.341950863,3.193721113,11.65647082,13.60079776,13.94856707
2007,2,30.89338414,3.482961936,4.181321862,1.065122786,1.295525602,1.735270739,4.056745101
2007,3,11.97132805,12.3097432,4.836055229,1.719114119,5.164774069,6.7267312,9.494847084
2007,4,18.29622259,11.37323946,3.564219103,5.00488692,5.961816658,8.686547795,8.507337984
2007,5,6.569538304,9.232771821,3.569795665,1.351723583,6.774481789,5.307868328,7.027655702
2007,6,10.00287807,7.94215944,6.909958865,6.811557923,15.89671106,10.03240682,8.914659767
2007,7,9.685407206,7.231156587,4.817903506,3.301014475,2.808068827,5.588949474,13.662491
2007,8,10.64963336,3.84537907,8.027399957,5.674925554,6.645540326,9.792351205,19.97809987
2007,9,18.3476267,15.59021967,4.643018341,3.083087191,7.74270108,12.10127251,21.28645311
2007,10,12.69758109,12.77640988,5.249538469,3.712159896,11.30993879,8.689466945,6.064721921
2007,11,18.73863976,9.914397015,5.011139141,2.278737731,9.014854069,16.47473583,23.19580382
2007,12,20.45572827,22.87204297,5.169953892,2.209382921,2.16077398,4.536107172,4.547330018
2008,1,17.90932115,16.1540361,3.138763731,1.130599292,1.439270982,2.496747857,4.337123006
2008,2,12.60727982,17.51949058,14.45449321,1.671842458,2.360798186,4.815286196,4.894286795
2008,3,13.1869691,5.430985402,2.474090634,1.005909427,4.526255928,7.518323211,7.706678081
2008,4,17.89811391,2.355818505,1.975319291,1.299365879,7.440976874,11.18526005,7.477213419
2008,5,16.78335004,12.28313303,5.068613603,2.094095561,7.032461991,9.012230092,8.741738831
2008,6,3.456393158,8.435351219,8.326747875,6.771899193,11.54734035,5.100854808,2.642425415
2008,7,7.405101773,14.69461812,5.989468454,4.454582792,9.611219406,4.646488262,6.49748336
2008,8,5.775250247,19.66383859,9.556543637,7.473017255,7.012822524,8.007547105,13.4187806
2008,9,19.42643188,28.59204995,14.55217664,3.241217592,6.463223165,11.93530134,18.16276717
2008,10,15.0555268,6.790574734,4.529576713,4.718238724,14.64409865,17.3933457,23.40146321
